filename,greek,english,level
"Duolingo_2026-03-31_06-02-27-800.png","Δε θυμώνω συχνά.","I don't get angry often.","A2"
"Duolingo_2026-03-31_06-02-28-270.png","Όταν συναντώ ξένους αγχώνομαι.","When I meet strangers I get stressed.","B1"
"Duolingo_2026-03-31_06-02-28-820.png","Τον άφησε ελεύθερο από οίκτο.","He set him free out of mercy.","C1"
"Duolingo_2026-03-31_06-02-29-380.png","Ο έρωτας είναι πολύ δυνατό συναίσθημα.","Love is a very strong feeling.","B1"
"Duolingo_2026-03-31_06-02-30-270.png","Είμαι ο τελευταίος των τελευταίων.","I am the last of the last ones.","A2"
"Duolingo_2026-03-31_06-02-30-760.png","Δηλαδή τι λέω;","In other words, what do I say?","A2"
"Duolingo_2026-03-31_06-02-31-500.png","Πώς ξεκίνησε η βιομηχανική επανάσταση;","How did the Industrial Revolution begin?","B2"
"Duolingo_2026-03-31_06-02-31-950.png","Ποιοι ήταν οι πιο σπουδαίοι γλύπτες της ελληνικής αρχαιότητας;","Who were the greatest sculptors of the Greek antiquity?","B2"
"Duolingo_2026-03-31_06-02-32-380.png","Υπήρχε αντίσταση;","Was there resistance?","A2"
"Duolingo_2026-03-31_06-02-33-010.png","Αυτό το κειμήλιο είναι παλαιολιθικό.","This relic is paleolithic.","C1"
"Duolingo_2026-03-31_06-02-33-410.png","Πώς μπορεί μία επανάσταση να μην είναι βίαιη;","How can a revolution not be violent?","B2"
"Duolingo_2026-03-31_06-02-33-840.png","Έχουμε μιλήσει για το παρελθόν μας.","We have talked about our past.","B1"
"Duolingo_2026-03-31_06-02-34-300.png","Η μητέρα όλων των μαχών.","The mother of all battles.","B1"
"Duolingo_2026-03-31_06-02-34-800.png","Η Αναγέννηση ξεκίνησε στην Ιταλία.","The Renaissance began in Italy.","B1"
"Duolingo_2026-03-31_06-02-35-390.png","Η ιστορικός μελετά τις επιστολές του στρατηγού.","The historian studies the letters of the general.","B2"
"Duolingo_2026-03-31_06-02-44-830.png","Αγαπώ τους φιλικούς σου συγγενείς!","I love your friendly relatives!","A2"
"Duolingo_2026-03-31_06-02-45-610.png","Το αγόρι δεν είναι υπεύθυνο.","The boy is not responsible.","A2"
"Duolingo_2026-03-31_06-02-46-040.png","Είστε απαίσιοι και αντιπαθητικοί!","You are awful and unlikable!","A2"
"Duolingo_2026-03-31_06-02-46-750.png","Ο σύζυγός μου είναι συμπαθητικός και γενναιόδωρος.","My husband is likable and generous.","A2"
"Duolingo_2026-03-31_06-02-47-170.png","Είμαστε αγενείς ή ευγενικοί;","Are we rude or kind?","A2"
"Duolingo_2026-03-31_06-02-47-700.png","Θέλω μια κοινωνική και συμπαθητική γυναίκα.","I want a sociable and likable woman.","A2"
"Duolingo_2026-03-31_06-02-48-160.png","Το κορίτσι της αδελφής μου είναι ανόητο αλλά τίμιο.","My sister's girlfriend is silly but honest.","B1"
"Duolingo_2026-03-31_06-02-49-240.png","Το μωρό παίζει με τη γάτα.","The baby is playing with the cat.","A1"
"Duolingo_2026-03-31_06-02-50-310.png","Τίνος είναι η ερώτηση;","Whose is the question?","A2"
"Duolingo_2026-03-31_06-02-50-680.png","Ποιανής είναι αυτό το φόρεμα;","Whose is this dress?","B1"
"Duolingo_2026-03-31_06-03-09-400.png","Ποια είναι η τελική σου απάντηση;","What is your final answer?","A2"
"Duolingo_2026-03-31_06-03-09-880.png","Δεν ξέρω, είναι πιθανό.","I don't know, it's possible.","A2"
"Duolingo_2026-03-31_06-03-10-390.png","Αυτός ο χυμός είναι ιδιαίτερος.","This juice is special.","A2"
"Duolingo_2026-03-31_06-03-10-870.png","Είναι μία γενική ερώτηση.","It is a general question.","A2"
"Duolingo_2026-03-31_06-03-30-140.png","Παίζω με το παιδί μιας γυναίκας.","I play with a woman's child.","A2"
"Duolingo_2026-03-31_06-03-32-130.png","Βαριέμαι τις περιπέτειες!","I am tired of adventures!","B1"
"Duolingo_2026-03-31_06-03-32-600.png","Το καύσιμο και οι αποσκευές.","The fuel and the baggage.","B1"
"Duolingo_2026-03-31_06-03-59-370.png","Τα παιδιά που χάθηκαν βρέθηκαν!","The kids that got lost were found!","B1"
"Duolingo_2026-03-31_06-03-59-750.png","Του ευχήθηκα καλό ταξίδι.","I wished him a good trip.","B1"
"Duolingo_2026-03-31_06-04-00-250.png","Ελπίζω να μην απογοητεύτηκες.","I hope you weren't disappointed.","B1"
"Duolingo_2026-03-31_06-04-00-990.png","Πώς βράχηκαν τα μαλλιά σου;","How did your hair get wet?","B1"
"Duolingo_2026-03-31_06-04-01-350.png","Δε μου αρέσει αυτό που έγινες.","I don't like what you became.","B1"
"Duolingo_2026-03-31_06-04-01-880.png","Δεν ακουστήκαμε καθόλου.","We were not heard at all.","B1"
"Duolingo_2026-03-31_06-04-02-280.png","Γιατί την εμπιστεύτηκες;","Why did you trust her?","B1"
"Duolingo_2026-03-31_06-04-02-860.png","Αισθάνθηκε κάτι δίπλα στο πόδι της.","She felt something next to her leg.","B1"
"Duolingo_2026-03-31_06-04-03-300.png","Έκανα αυτό που σου υποσχέθηκα.","I did what I promised you.","B1"
"Duolingo_2026-03-31_06-05-16-260.png","Δεν πηγαίνω λόγω αυτού.","I do not go because of this.","A2"
"Duolingo_2026-03-31_06-05-22-730.png","Είμαι πολίτης αυτής της χώρας.","I am a citizen of this country.","A2"
"Duolingo_2026-03-31_06-05-23-290.png","Τι σου είπε εκείνος ο τύπος;","What did that guy tell you?","A2"
"Duolingo_2026-03-31_06-05-23-880.png","Αυτό ήταν τυχαίο.","This was random.","A2"
"Duolingo_2026-03-31_06-05-28-670.png","Το κορίτσι έχει ένα κουνέλι σαν κατοικίδιο.","The girl has a rabbit as a pet.","A2"
"Duolingo_2026-03-31_06-05-29-230.png","Ο καρχαρίας είναι ένα επικίνδυνο ζώο.","The shark is a dangerous animal.","A2"
"Duolingo_2026-03-31_06-05-34-380.png","Οι γλυκοί καρποί της Γης.","The sweet fruits of the Earth.","B1"
"Duolingo_2026-03-31_06-05-34-720.png","Τα πυρηνικά απόβλητα είναι υπεύθυνα για τη ρύπανση των υδάτων.","Nuclear waste is responsible for water pollution.","B2"
"Duolingo_2026-03-31_06-05-37-940.png","Ο δημοσιογράφος παίρνει συνέντευξη από τον πολιτικό.","The journalist interviews the politician.","B1"
"Duolingo_2026-03-31_06-05-38-410.png","Ποια κόμματα μπήκαν στο κοινοβούλιο;","Which parties entered the parliament?","B2"
"Duolingo_2026-03-31_06-05-39-210.png","Η πορεία ήταν κατά της δικτατορίας.","The protest march was against the dictatorship.","B2"
"Duolingo_2026-03-31_06-05-39-540.png","Πήγαμε στη διαδήλωση κατά της ανεργίας.","We went to the demonstration against unemployment.","B2"
"Duolingo_2026-03-31_06-05-40-180.png","Πού θα δώσεις την ψήφο σου;","Where will you give your vote?","B1"
"Duolingo_2026-03-31_06-05-40-700.png","Πόσους υπουργούς έχει η κυβέρνηση;","How many Ministers does the government have?","B1"
"Duolingo_2026-03-31_06-05-41-280.png","Η συνθήκη ειρήνης εξέφρασε τη γνώμη του λαού.","The peace treaty expressed the people's opinion.","B2"
"Duolingo_2026-03-31_06-05-41-900.png","Η ψήφος στις εθνικές εκλογές είναι πολύ σημαντική.","The vote in the national elections is very important.","B1"
"Duolingo_2026-03-31_06-05-42-470.png","Οι δικαστικοί έχουν μεγάλη εξουσία.","Judges have a lot of authority.","B1"
"Duolingo_2026-03-31_06-05-43-210.png","Ο κυβερνήτης έτρωγε με τους στρατιώτες.","The Governor was eating with the soldiers.","B1"
"Duolingo_2026-03-31_06-05-45-350.png","Είναι σοβαρός και γενναίος, είναι τέλειος.","He is serious and brave, he is perfect.","A2"
"Duolingo_2026-03-31_06-05-46-200.png","Το κορίτσι της αδελφής μου είναι ανόητο αλλά τίμιο.","My sister's girlfriend is silly but honest.","A2"
"Duolingo_2026-03-31_06-05-46-750.png","Θέλω μια κοινωνική και συμπαθητική γυναίκα.","I want a sociable and likable woman.","A2"
"Duolingo_2026-03-31_06-05-47-250.png","Ο σύζυγός μου είναι συμπαθητικός και γενναιόδωρος.","My husband is likable and generous.","A2"
"Duolingo_2026-03-31_06-05-47-910.png","Θέλω μια κοινωνική και συμπαθητική γυναίκα.","I want a sociable and likable woman.","A2"
"Duolingo_2026-03-31_06-05-48-520.png","Η ελληνική μαγειρική είναι ενδιαφέρουσα.","Greek cooking is interesting.","A2"
"Duolingo_2026-03-31_06-05-49-000.png","Η Ελλάδα έχει πολύ μεγάλο εμπορικό στόλο.","Greece has a very large merchant navy.","B1"
"Duolingo_2026-03-31_06-05-49-500.png","Ο ελληνικός ποιμενικός.","The Greek shepherd.","A2"
"Duolingo_2026-03-31_06-05-49-940.png","Μου αρέσει η λιακάδα!","I like the sunshine!","A2"
"Duolingo_2026-03-31_06-05-52-760.png","Η ίδια μου η μητέρα!","My own mother!","A1"
"Duolingo_2026-03-31_06-05-53-850.png","Το κάνω εγώ η ίδια.","I do it myself.","A2"
"Duolingo_2026-03-31_06-05-54-340.png","Μου αρέσει ο εαυτός μου.","I like myself.","A2"
"Duolingo_2026-03-31_06-05-59-550.png","Η συσκευή πλοήγησης δείχνει μια ευθεία.","The navigation device shows a straight line.","B2"
"Duolingo_2026-03-31_06-05-59-920.png","Είμαστε στο μπροστινό κτήριο.","We are at the front building.","A2"
"Duolingo_2026-03-31_06-06-00-620.png","Πού είναι οι βόρειες περιφέρειες;","Where are the northern districts?","B1"
"Duolingo_2026-03-31_06-06-01-280.png","Η δύση του ήλιου.","The sunset.","A2"
"Duolingo_2026-03-31_06-06-01-780.png","Το δυτικό πάρκο είναι τέλειο.","The western park is perfect.","A2"
"Duolingo_2026-03-31_06-06-02-360.png","Η ανατολή είναι εκεί.","The east is there.","A2"
"Duolingo_2026-03-31_06-06-02-800.png","Πηγαίνω στα νοτιοδυτικά του χωριού.","I go to the southwest of the village.","B1"
"Duolingo_2026-03-31_06-06-03-270.png","Η πρωτεύουσα είναι στα νότια.","The capital is in the south.","B1"
"Duolingo_2026-03-31_06-06-03-990.png","Το πάρκο είναι βορειοανατολικά της πόλης.","The park is northeast of the city.","B1"
"Duolingo_2026-03-31_06-07-57-240.png","Ο καθένας έχει το βιβλίο του.","Each one has his book.","A2"
"Duolingo_2026-03-31_06-07-57-750.png","Κάποιοι είναι ψηλοί, κάποιοι κοντοί.","Some are tall, some are short.","A2"
"Duolingo_2026-03-31_06-07-58-430.png","Καμία άλλη δεν είναι σαν εσένα.","No one else is like you.","A2"
"Duolingo_2026-03-31_06-07-59-050.png","Ο καθένας έχει τα δικά του πράγματα.","Each one has his own things.","A2"
"Duolingo_2026-03-31_06-07-59-930.png","Αυτές παρακαλούν τον άντρα.","They beg the man.","A2"
"Duolingo_2026-03-31_06-08-00-650.png","Δεν το εννοώ.","I don't mean it.","A2"
"Duolingo_2026-03-31_06-08-01-200.png","Ανατρέφω το παιδί μου.","I am raising my child.","A2"
"Duolingo_2026-03-31_06-08-02-070.png","Αμφιβάλλουμε ότι αυτή είναι καλή.","We doubt that she's good.","B1"
"Duolingo_2026-03-31_06-08-02-820.png","Εσύ παραδίδεις κι εγώ παραλαμβάνω.","You deliver and I receive.","B1"
"Duolingo_2026-03-31_06-08-11-420.png","Το αρνούμαστε.","We deny it.","A2"
"Duolingo_2026-03-31_06-08-11-900.png","Εμείς γεμίζουμε.","We fill.","A1"
"Duolingo_2026-03-31_06-08-12-840.png","Γιατί δε με συστήνεις στην οικογένειά σου;","Why don't you introduce me to your family?","A2"
"Duolingo_2026-03-31_06-08-15-960.png","Θα πάει στο πανεπιστήμιο να κάνει μεταπτυχιακές σπουδές.","She will go to university to do postgraduate studies.","B1"
"Duolingo_2026-03-31_06-08-16-640.png","Η εκπαίδευση είναι σημαντική.","Education is important.","A2"
"Duolingo_2026-03-31_06-08-17-790.png","Το μεταπτυχιακό εξάμηνο.","The postgraduate semester.","B1"
"Duolingo_2026-03-31_06-08-18-610.png","Τα ιδιωτικά έγγραφα.","The private documents.","B1"
"Duolingo_2026-03-31_06-08-19-290.png","Εγώ έχω ένα διαγώνισμα αύριο.","I have a test tomorrow.","A2"
"Duolingo_2026-03-31_06-08-19-670.png","Η διδασκαλία του καθηγητή.","The teaching of the professor.","A2"
"Duolingo_2026-03-31_06-08-20-580.png","Ο γιατρός μου είπε ότι έχω ίωση.","My doctor said that I have a virus.","B1"
"Duolingo_2026-03-31_06-08-21-450.png","Το ασθενοφόρο ήρθε γρήγορα.","The ambulance arrived quickly.","A2"
"Duolingo_2026-03-31_06-08-21-850.png","Υπάρχουν τουλάχιστον οκτώ χειρουργεία στο νοσοκομείο.","There are at least eight operating rooms in the hospital.","B1"
"Duolingo_2026-03-31_06-08-22-280.png","Οι πρώτες ώρες μετά από μία εγχείρηση είναι πάντα κρίσιμες.","The first hours after an operation are always critical.","B2"
"Duolingo_2026-03-31_06-08-22-800.png","Πονάει ο ώμος μου, όμως.","My shoulder hurts, however.","A2"
"Duolingo_2026-03-31_06-08-23-460.png","Ο γιος μου είχε πυρετό και πονοκέφαλο χθες.","My son had a fever and a headache yesterday.","A2"
"Duolingo_2026-03-31_06-08-29-820.png","Οπουδήποτε και όποτε θέλω.","Wherever and whenever I want.","B1"
"Duolingo_2026-03-31_06-08-30-340.png","Είναι ήδη Ιούνιος.","It is already June.","A2"
"Duolingo_2026-03-31_06-08-36-440.png","Φυσιολογικά, όχι.","Normally, no.","A2"
"Duolingo_2026-03-31_06-08-36-780.png","Πόσο δημιουργικά γράφει αυτός ο συγγραφέας!","How creatively this writer writes!","B2"
"Duolingo_2026-03-31_06-08-37-110.png","Δε με νοιάζει το ""κάποτε"", με νοιάζει το ""τώρα"".","I don't care about ""someday"", I care about ""now"".","B1"
"Duolingo_2026-03-31_06-08-37-660.png","Ίσως, αργά ή γρήγορα.","Maybe, sooner or later.","A2"
"Duolingo_2026-03-31_06-08-38-220.png","Σταματήσαμε εντελώς να μιλάμε.","We completely stopped talking.","B1"
"Duolingo_2026-03-31_06-08-54-640.png","Η πόρτα μου δεν πρόκειται να είναι ανοιχτή άλλη φορά για εσένα!","My door is not going to be open another time for you!","B1"
"Duolingo_2026-03-31_06-08-55-500.png","Τα κοσμήματα κόστισαν περίπου ένα εκατομμύριο.","The jewellery cost around a million.","B1"
"Duolingo_2026-03-31_06-11-12-870.png","Ρωτώντας πας στην πόλη.","By asking you get to the city.","B2"
"Duolingo_2026-03-31_06-11-13-420.png","Δε μου μίλησε πιστεύοντας ότι εγώ μπορεί να το έκανα.","He didn't talk to me believing that I may have done it.","B2"
"Duolingo_2026-03-31_06-11-14-150.png","Είδα πολλά όντας εκεί.","I saw many things by being there.","B1"
"Duolingo_2026-03-31_06-11-14-830.png","Απαντά λέγοντας ναι.","He replies saying yes.","A2"
"Duolingo_2026-03-31_06-11-15-200.png","Του έδωσα το χέρι μου προσπαθώντας να τον βοηθήσω.","I gave him my hand trying to help him.","B1"
"Duolingo_2026-03-31_06-11-15-800.png","Η στιγμή δεν είναι πρέπουσα.","The moment is not appropriate.","C1"
"Duolingo_2026-03-31_06-11-16-110.png","Ποια είναι η τρέχουσα ημερομηνία;","What is the current date?","B1"
"Duolingo_2026-03-31_06-11-16-660.png","Τι είναι αυτό το ον;","What is that being?","A2"
"Duolingo_2026-03-31_06-11-16-970.png","Αυτή μας απάντησε μιλώντας Αγγλικά.","She answered us speaking English.","B1"
"Duolingo_2026-03-31_06-11-17-370.png","Οι πυροσβέστες δουλεύουν ελπίζοντας να βοηθήσουν.","The firefighters work hoping to help.","B1"
"Duolingo_2026-03-31_06-11-17-760.png","Πηγαίνοντας στο αεροδρόμιο, συνάντησα την αδελφή σου.","Going to the airport, I met your sister.","B1"
"Duolingo_2026-03-31_06-11-18-140.png","Φεύγοντας από το γραφείο έπεσα πάνω στον διευθυντή μου.","Leaving the office I bumped into my director.","B1"
"Duolingo_2026-03-31_06-11-18-560.png","Ο άντρας αυτός είναι ενδιαφέρων.","This man is interesting.","A2"
"Duolingo_2026-03-31_06-11-23-770.png","Σε τι αναφέρεται η εφημερίδα;","What is the newspaper referring to?","B1"
"Duolingo_2026-03-31_06-11-24-210.png","Ποια ξενοδοχεία θεωρούνται καλά στο κέντρο της πόλης;","Which hotels are considered good in the city center?","B1"
"Duolingo_2026-03-31_06-11-24-700.png","Εσύ παρουσιάζεσαι ως καλός δικηγόρος.","You present yourself as a good lawyer.","B2"
"Duolingo_2026-03-31_06-11-25-350.png","Πολλά λέγονται αλλά λίγα γίνονται!","A lot is said but little is done!","B1"
"Duolingo_2026-03-31_06-11-25-660.png","Η απάντησή μου εξαρτάται από την ερώτησή σου.","My answer depends on your question.","B1"
"Duolingo_2026-03-31_06-11-26-030.png","Αυτός δε χτενίζεται ποτέ επειδή δεν έχει μαλλιά!","He never combs his hair because he has no hair!","B1"
"Duolingo_2026-03-31_06-11-36-560.png","Θα βρίσκομαι στο γραφείο στις οκτώ.","I will be at the office at eight.","B1"
"Duolingo_2026-03-31_06-11-37-290.png","Από 'δώ και πέρα, θα πληρώνομαι.","From now on, I will be getting paid.","B1"
"Duolingo_2026-03-31_06-11-48-870.png","Με ευχαρίστησαν για το γεύμα.","They thanked me for the meal.","A2"
"Duolingo_2026-03-31_06-11-49-490.png","Σας άρεσαν καθόλου τα δώρα σας;","Did you like your presents at all?","A2"
"Duolingo_2026-03-31_06-11-50-030.png","Πότε το παρουσιάσατε;","When did you present it?","A2"
"Duolingo_2026-03-31_06-11-50-360.png","Προσπάθησα αλλά απέτυχα!","I tried but I failed!","A2"
"Duolingo_2026-03-31_06-11-50-900.png","Επέστρεψα δύο χρόνια μετά για να βάλω ένα τέλος σε αυτό.","I returned two years later to put an end to this.","B1"
"Duolingo_2026-03-31_06-11-59-890.png","Πόσο άχρηστοι μπορεί να είστε!","How useless can you be!","B1"
"Duolingo_2026-03-31_06-12-00-810.png","Τι είναι δημοφιλές;","What is popular?","A2"
"Duolingo_2026-03-31_06-12-01-350.png","Αυτό το σπίτι τούς είναι οικείο.","This house is familiar to them.","B2"
"Duolingo_2026-03-31_06-12-13-570.png","Αυτός είναι ο άντρας ο οποίος μου μίλησε.","He is the man who spoke to me.","B1"
"Duolingo_2026-03-31_06-12-13-890.png","Πέρασε τόσος πολύς καιρός.","So much time passed.","B1"
"Duolingo_2026-03-31_06-12-14-300.png","Αυτές είναι οι γυναίκες τις οποίες είδα.","They are the women who I saw.","B1"
"Duolingo_2026-03-31_06-12-14-940.png","Αυτός είναι ο θείος μου ο οποίος είναι χορτοφάγος.","This is my uncle who is a vegetarian.","B1"
"Duolingo_2026-03-31_06-12-15-760.png","Εγώ θέλω κάποιον να με αγαπήσει.","I want somebody to love me.","B1"
"Duolingo_2026-03-31_06-12-16-550.png","Νιώθω ότι κάτι καλό πρόκειται να μου συμβεί.","I feel that something good is going to happen to me.","B1"
"Duolingo_2026-03-31_06-12-17-400.png","Γιατί να θελήσουν αυτό το πράγμα;","Why would they want this thing?","B1"
"Duolingo_2026-03-31_06-12-18-340.png","Οι μηχανικοί θέλουν να δοκιμάσουν τις μηχανές.","The mechanics want to test the machines.","A2"
"Duolingo_2026-03-31_06-12-20-160.png","Κανείς δεν έχει πάει στην ανώτατη κορυφή.","No one has been to the highest peak.","B2"
"Duolingo_2026-03-31_06-12-20-500.png","Πιστεύω ότι αυτός είναι χείριστος επαγγελματίας!","I believe that he is a very bad professional!","B2"
"Duolingo_2026-03-31_06-12-21-250.png","Ο αδερφός μου είναι δημοφιλέστατος στην παρέα του!","My brother is very popular in his group of friends!","B2"
"Duolingo_2026-03-31_06-12-22-050.png","Το να μιλάς είναι ευκολότατο, το να ακούς όταν σου μιλάνε είναι πολύ δύσκολο!","Talking is very easy, listening when they speak to you is very difficult!","B1"
"Duolingo_2026-03-31_06-12-22-440.png","Αυτή φαίνεται νεότερη από την ηλικία της!","She looks younger than her age!","B1"
"Duolingo_2026-03-31_06-12-22-950.png","Θέλω να αγοράσω ένα φθηνότερο βιβλίο.","I want to buy a cheaper book.","A2"
"Duolingo_2026-03-31_06-12-23-470.png","Όσο περισσότερο δουλεύω, τόσο λιγότερο κοιμάμαι!","The more I work, the less I sleep!","B1"
"Duolingo_2026-03-31_06-12-23-820.png","Τα πρωτύτερα βιβλία της ήταν ενδιαφέροντα.","Her prior books were interesting.","B1"
"Duolingo_2026-03-31_06-12-24-310.png","Γιατί δε φοράς κάτι απλούστερο;","Why don't you wear something simpler?","A2"
"Duolingo_2026-03-31_06-12-24-640.png","Γιατί να θελήσουν αυτό το πράγμα;","Why would they want this thing?","B1"
"Duolingo_2026-03-31_06-12-24-990.png","Αυτές οι ημέρες δεν πρόκειται να περάσουν!","These days are not going to pass!","A2"
"Duolingo_2026-03-31_06-12-25-680.png","Αυτός είναι ο άντρας ο οποίος μου μίλησε.","He is the man who spoke to me.","B1"
"Duolingo_2026-03-31_06-12-26-000.png","Αυτό το σπίτι τούς είναι οικείο.","This house is familiar to them.","B1"
"Duolingo_2026-03-31_06-12-38-730.png","Αυτοί με πήραν για δεδομένο.","They took me for granted.","B1"
"Duolingo_2026-03-31_06-12-39-430.png","Μου αρέσουν οι θερμαινόμενες πισίνες.","I like heated pools.","A2"
"Duolingo_2026-03-31_06-12-40-210.png","Το γεύμα είναι ήδη πληρωμένο.","The meal is already paid.","A2"
"Duolingo_2026-03-31_06-12-40-570.png","Επιτέλους βρήκα τα χαμένα μου κλειδιά!","At last I found my lost keys!","A2"
